PrefTaxon	12543267.A01S66	28475012.A02S69	Gblock.A03S96	NTC.A04S28	POS.A05S23
Achnanthes	0	0	0	0	0
Achnanthes abundans	0	0	0	0	0
Achnanthes altaica	0	0	0	0	0
Achnanthes amoena	0	0	0	0	0
Achnanthes austriaca var. helvetica	0	0	0	0	0
Achnanthes bahusiensis	0	0	0	0	0
Achnanthes bioretii	0	0	0	0	0
Achnanthes bremeyeri	0	0	0	0	0
Achnanthes brevipes	0	0	0	0	0
Achnanthes calcar	0	0	0	0	0
Achnanthes carissima	0	0	0	0	0
Achnanthes [cf. engelbrechtii]	0	0	0	0	0
Achnanthes chlidanos	0	2	0	0	0
Achnanthes clevei	0	0	0	0	0
Achnanthes coarctata	0	0	0	0	0
Achnanthes conspicua	0	0	0	0	0
Achnanthes curtissima	0	0	0	0	0
Achnanthes daonensis	0	0	0	0	0
Achnanthes daui	0	0	0	0	0
Achnanthes delicatula subsp. hauckiana	0	0	0	0	0
Achnanthes depressa	0	0	0	0	0
Achnanthes detha	0	0	0	0	0
Achnanthes didyma fo. didyma	0	0	0	0	0
Achnanthes exigua	0	0	0	0	0
Achnanthes exilis	0	0	0	0	0
Achnanthes flexella	0	0	0	0	0
Achnanthes flexella var. alpestris	0	0	0	0	0
Achnanthes frigida	0	0	0	0	0
Achnanthes grana	0	0	0	0	0
Achnanthes grischuna	0	0	0	0	0
Achnanthes haynaldii var. elliptico-lanceolata	0	0	0	0	0
Achnanthes helvetica	0	0	0	0	0
Achnanthes helvetica var. alpina	0	0	0	0	0
Achnanthes hintzii	0	0	0	0	0
Achnanthes holsatica	0	0	0	0	0
Achnanthes impexa	0	0	0	0	0
Achnanthes ingratiformis	0	0	0	0	0
Achnanthes joursacense	0	0	0	0	0
Achnanthes kolbei	0	0	0	0	0
Achnanthes kriegeri	0	0	0	0	0
Achnanthes kryophila	0	0	0	0	0
Achnanthes kuelbsii	0	0	0	0	0
Achnanthes laevis	0	0	0	0	0
Achnanthes lanceolata	0	0	0	0	0
Achnanthes lanceolata var. bimaculata	0	0	0	0	0
Achnanthes lanceolata var. dubia	0	0	0	0	0
Achnanthes lanceolata var. elliptica	0	0	0	0	0
Achnanthes lanceolata var. elliptico-lanceolata	0	0	0	0	0
Achnanthes lanceolata var. rostrata	0	0	0	0	0
Achnanthes lapidosa	0	0	0	0	0
Achnanthes lapponica	0	0	0	0	0
Achnanthes laterostrata	0	0	0	0	0
Achnanthes lauenbergiana	0	0	0	0	0
Achnanthes levanderi	0	0	0	0	0
Achnanthes linearis	0	0	0	0	0
Achnanthes linearis fo. curta	0	0	0	0	0
Achnanthes longipes	0	0	0	0	0
Achnanthes lutheri	0	0	0	0	0
Achnanthes marginulata	0	0	0	0	0
Achnanthes microcephala	0	0	0	0	0
Achnanthes minuscula	0	0	0	0	0
Achnanthes minutissima	0	0	0	0	0
Achnanthes minutissima var. saprophila	0	0	0	0	0
Achnanthes modestiformis	0	0	0	0	0
Achnanthes nodosa	0	0	0	0	0
Achnanthes oestrupii	0	0	0	0	0
Achnanthes (Other)	0	0	0	0	0
Achnanthes pericava	0	0	0	0	0
Achnanthes petersenii	0	0	0	0	0
Achnanthes ploenensis	0	0	0	0	0
Achnanthes punctulata	0	0	0	0	0
Achnanthes pusilla	0	0	0	0	0
Achnanthes ricula	0	0	0	0	0
Achnanthes rosenstockii	0	0	0	0	0
Achnanthes rossii	0	0	0	0	0
Achnanthes rostrata	0	0	0	0	0
Achnanthes rupestoides	0	0	0	0	0
Achnanthes rupestris	0	0	0	0	0
Achnanthes saccula	0	0	0	0	0
Achnanthes saxonica	0	0	0	0	0
Achnanthes scotica	0	0	0	0	0
Achnanthes semiaperta	0	0	0	0	0
Achnanthes silvahercynia	0	0	0	0	0
Achnanthes stolida	0	0	0	0	0
Achnanthes straubiana	0	0	0	0	0
Achnanthes subatomoides	0	0	0	0	0
Achnanthes subsalsa	0	0	0	0	0
Achnanthes suchlandtii	0	0	0	0	0
Achnanthes thermalis	0	0	0	0	0
Achnanthes trinodis	0	0	0	0	0
Achnanthes ventralis	0	0	0	0	0
Achnanthes ziegleri	0	0	0	0	0
Achnanthidium	0	0	0	0	0
Achnanthidium affine	0	0	0	0	0
Achnanthidium caledonicum	0	0	0	0	0
Achnanthidium catenatum	0	0	0	0	0
Achnanthidium eutrophilum	0	0	0	0	0
Achnanthidium exilis	0	0	0	0	0
Achnanthidium jackii	0	0	0	0	0
Achnanthidium kranzii	0	0	0	0	0
Achnanthidium lineare	0	0	0	0	0
Achnanthidium microcephalum	0	0	0	0	0
Achnanthidium microcephalum forma scotica	0	0	0	0	0
Achnanthidium minutissimum	2531	3637	0	0	214
Achnanthidium minutissimum type	0	0	0	0	0
Achnanthidium minutissimum var. gracillima	0	0	0	0	0
Achnanthidium neomicrocephalum	0	0	0	0	0
Achnanthidium pyrenaicum	5028	8960	0	0	2030
Achnanthidium reimeri	0	1	0	0	0
Achnanthidium saprophilum	0	1	0	0	0
Achnanthidium subatomus	0	0	0	0	0
Achnanthidium thermale	0	0	0	0	0
Achnnathidium rivulare	7	22	0	0	0
Actinocyclus	0	0	0	0	0
Actinocyclus normanii	0	0	0	0	0
Actinocyclus normanii f. subsalsa	0	0	0	0	0
Actinoptychus	0	0	0	0	0
Actinoptychus splendens	0	0	0	0	0
Adlafia brockmannii	0	0	0	0	0
Adlafia bryophila	3	0	0	0	0
Adlafia minuscula	6	1	0	0	0
Adlafia minuscula var. muralis	0	0	0	0	0
Adlafia suchlandtii	0	0	0	0	0
Amphipleura	0	0	0	0	0
Amphipleura lindheimeri	0	0	0	0	0
Amphipleura pellucida	0	0	0	0	0
Amphipleura rutilans	0	0	0	0	0
Amphora	18	0	0	0	502
Amphora abludens	0	0	0	0	0
Amphora aequalis	0	0	0	0	0
Amphora affinis	0	0	0	0	6
Amphora aliformis	0	0	0	0	0
Amphora atomoides	0	0	0	0	11
Amphora beaufortiana	0	0	0	0	0
Amphora berolinensis	0	0	0	0	0
Amphora commutata	0	0	0	0	0
Amphora copulata	12	5	0	0	1907
Amphora decussata	0	0	0	0	0
Amphora delicatissima	0	0	0	0	0
Amphora dusenii	0	0	0	0	0
Amphora exigua	0	0	0	0	0
Amphora fogediana	0	0	0	0	0
Amphora graeffeana	0	0	0	0	0
Amphora hyalina	0	0	0	0	0
Amphora inariensis	0	0	0	0	0
Amphora laevissima	0	0	0	0	0
Amphora lineolata	0	0	0	0	0
Amphora obtusa	0	0	0	0	0
Amphora (Other)	0	0	0	0	0
Amphora ovalis	9	0	0	0	124
Amphora ovalis var. libyca	0	0	0	0	0
Amphora ovalis var. pediculus	0	0	0	0	0
Amphora pediculus	105	82	0	0	51452
